Model,Test,Best Iter,Time,Seed,Run CMD
,"HR@5:0.3581,NDCG@5:0.2765,HR@10:0.4389,NDCG@10:0.3026,HR@20:0.5464,NDCG@20:0.3297,HR@50:0.7546,NDCG@50:0.3705",47,184.1,2,python main.py --model_name FPMC --emb_size 64 --lr 1e-3 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3584,NDCG@5:0.2783,HR@10:0.4383,NDCG@10:0.3041,HR@20:0.5417,NDCG@20:0.3301,HR@50:0.7502,NDCG@50:0.3710",49,188.8,3,python main.py --model_name FPMC --emb_size 64 --lr 1e-3 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3600,NDCG@5:0.2780,HR@10:0.4380,NDCG@10:0.3031,HR@20:0.5405,NDCG@20:0.3289,HR@50:0.7494,NDCG@50:0.3700",65,231.3,4,python main.py --model_name FPMC --emb_size 64 --lr 1e-3 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
FPMC,"0.3594,0.2785,0.4397,0.3043,0.5433,0.3304,0.7514,0.3713",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3627,NDCG@5:0.2576,HR@10:0.4766,NDCG@10:0.2945,HR@20:0.6021,NDCG@20:0.3261,HR@50:0.8202,NDCG@50:0.3692",35,240.2,0,python main.py --model_name GRU4Rec --emb_size 64 --hidden_size 100 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3678,NDCG@5:0.2643,HR@10:0.4722,NDCG@10:0.2979,HR@20:0.6013,NDCG@20:0.3305,HR@50:0.8188,NDCG@50:0.3734",34,239.4,1,python main.py --model_name GRU4Rec --emb_size 64 --hidden_size 100 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3610,NDCG@5:0.2581,HR@10:0.4685,NDCG@10:0.2928,HR@20:0.5910,NDCG@20:0.3237,HR@50:0.8224,NDCG@50:0.3694",67,379.5,2,python main.py --model_name GRU4Rec --emb_size 64 --hidden_size 100 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
